beneficiaire_normalise,ode_thematique,ode_sous_categorie,ode_confiance,ode_date_recherche,ode_source
FONCIERE PARIS COMMERCES,Économie,Commerce de proximité et revitalisation,1.0,2026-04-20,llm_gemini
FOND CITE INTERNATIONALE ARTS,Culture,Résidence d'artistes,1.0,2026-04-20,llm_gemini
FOND MAISON CHAMPS ST FRAN ASSISE,Social - Solidarité,Fondation Maison des Champs Saint-François d'Assise - hébergement/accueil solidaire,0.75,2026-02-18,llm_claude
FOND MAISON CHAMPS ST FRANC ASSISE,Social - Solidarité,Fondation Maison des Champs Saint-François d'Assise - hébergement/accueil solidaire,0.8,2026-02-18,llm_claude
FOND MAISON CHAMPS STFRAN ASSISE,Social - Solidarité,Hébergement et accueil solidaire (Fondation Maison des Champs Saint-François d'Assise),0.8,2026-02-18,llm_claude
FOND OEUVRE DE LA CROIX ST SIMON,Santé,Fondation Œuvre de la Croix Saint-Simon - soins et accompagnement médico-social,0.82,2026-02-18,llm_claude
FOND. MAISON CHAMPS ST FRANC ASSISE,Social - Solidarité,Services aux personnes âgées et soins de suite,0.95,2026-04-20,llm_gemini
FOND. MAISON CHAMPS ST-FRAN. ASSISE,Social - Solidarité,Aide aux personnes âgées et handicapées,1.0,2026-04-20,llm_gemini
FOND. OEUVRE DE LA CROIX ST- SIMON,Social - Petite enfance,Gestion de crèches et services à la petite enfance,0.9,2026-04-20,llm_gemini
FONDAT ABBE PIERRE LOGEMENT DEFAVOR,Logement,Fondation Abbé Pierre pour le logement des défavorisés,0.98,2026-02-18,llm_claude
FONDAT MAISON CHAMPS ST FRANC D ASS,Social - Solidarité,Fondation Maison des Champs - hébergement/accueil social (Saint-François d'Assise),0.85,2026-02-18,llm_claude
FONDATION AGIR CONTRE L'EXCLUSION,Social - Solidarité,Lutte contre l'exclusion,1.0,2026-04-20,llm_gemini
FONDATION CASIP-COJASOR,Social - Solidarité,Action sociale et aide aux personnes âgées,1.0,2026-04-20,llm_gemini
FONDATION CASIPCOJASOR,Social - Solidarité,"Action sociale, handicap et personnes âgées",1.0,2026-04-20,llm_gemini
FONDATION CITE INTERNATIONALE ARTS,Culture,Résidence d'artistes et arts visuels,1.0,2026-04-20,llm_gemini
FONDATION D'ENTREPRISE P.S.G.,Social - Solidarité,Insertion sociale par le sport,0.95,2026-04-20,llm_gemini
FONDATION DE L ARMEE DU SALUT,Social - Solidarité,Hébergement d'urgence et aide aux personnes en difficulté,0.97,2026-02-18,llm_claude
FONDATION DE L'ARMEE DU SALUT,Social - Solidarité,Lutte contre l'exclusion et hébergement d'urgence,1.0,2026-04-20,llm_gemini
FONDATION DE ROTHSCHILD,Social - Solidarité,"Action sociale, handicap et personnes âgées",0.9,2026-04-20,llm_gemini
FONDATION DES PETITS FRERES DES PAU,Social - Solidarité,Accompagnement des personnes âgées isolées,0.95,2026-02-18,llm_claude
FONDATION ETUDIANTE POUR LA VIL,Éducation,Accompagnement scolaire et engagement étudiant (AFEV),1.0,2026-04-20,llm_gemini
FONDATION L ELAN RETROUVE,Santé,Santé mentale et psychiatrie,0.92,2026-02-18,llm_claude
FONDATION LEOPOLD BELLAN,Social - Solidarité,Établissements médico-sociaux et handicap,0.95,2026-04-20,llm_gemini
FONDATION LOUIS LEPINE,Sécurité,Œuvres sociales de la Préfecture de Police,0.9,2026-04-20,llm_gemini
FONDATION NATIONALE SCIENCES,Éducation,Enseignement supérieur et recherche (Sciences Po),1.0,2026-04-20,llm_gemini
FONDATION NATIONALE SCIENCES POLITI,Éducation,Enseignement supérieur (Sciences Po),1.0,2026-04-20,llm_gemini
FONDATION OEUVRE DE LA CROIX,Social - Solidarité,Œuvre caritative et sociale (Croix Saint-Simon),0.8,2026-02-18,llm_claude
FONDATION OEUVRE DE LA CROIX ST SIM,Social - Solidarité,Œuvre caritative et sociale (Croix Saint-Simon),0.85,2026-02-18,llm_claude
FONDATION OLGA SPITZER,Social - Solidarité,Protection de l'enfance et aide sociale à l'enfance,0.92,2026-02-18,llm_claude
FONDATION PARTAGE ET VIE,Social - Solidarité,Accompagnement des personnes âgées et handicap,1.0,2026-04-20,llm_gemini
FONDATION SCIENCES MATHEMATIQUES,Éducation,Recherche scientifique et mathématiques,1.0,2026-04-20,llm_gemini
FONDATION SCIENCES MATHEMATIQUES PA,Éducation,Recherche scientifique et mathématiques,1.0,2026-04-20,llm_gemini
FONDATION TERRE DE LIENS,Environnement,Préservation du foncier agricole et écologie,1.0,2026-04-20,llm_gemini
FONDATION VOIR ET ENTENDRE,Santé,Recherche médicale (vision et audition),1.0,2026-04-20,llm_gemini
FONDS REGIONAL ART CONTEMPORAI,Culture,Fonds Régional d'Art Contemporain (FRAC),1.0,2026-04-20,llm_gemini
FONDS SOCIAL JUIF UNIFIE,Social - Solidarité,Action sociale et aide humanitaire,0.95,2026-04-20,llm_gemini
FONDS SOLIDARITE SIDA AFRIQUE,International,Santé et solidarité internationale (SIDA),0.95,2026-04-20,llm_gemini
FOOD DE RUE FOOD2RUE,Social - Solidarité,Insertion sociale et professionnelle des femmes,0.95,2026-04-20,llm_gemini
FOOD SWEET FOOD,Social - Solidarité,Insertion sociale et aide aux réfugiés,0.95,2026-04-20,llm_gemini
FOODSWEETFOOD,Social - Solidarité,Insertion des réfugiés par la cuisine,0.95,2026-04-20,llm_gemini
FOOTBALL CLUB DES GOBELINS,Sport,Club de football - quartier des Gobelins,0.97,2026-02-18,llm_claude
FORUM DES IMAGES,Culture,Cinéma et patrimoine audiovisuel,0.95,2026-02-18,llm_claude
FRANCAIS LANGUE D ACCUEIL,Social - Solidarité,Apprentissage du français pour migrants et réfugiés,0.9,2026-02-18,llm_claude
FRANCE HORIZON,Social - Solidarité,"Hébergement, insertion et accompagnement des réfugiés et personnes vulnérables",0.95,2026-02-18,llm_claude
FRANCE TERRE D ASILE,Social - Solidarité,Aide aux réfugiés et demandeurs d'asile,1.0,2026-04-20,llm_gemini
FRANCE TERRE D'ASILE,Social - Solidarité,Aide aux réfugiés et demandeurs d'asile,1.0,2026-04-20,llm_gemini
FRANCO ASIATIQUE POUR L ENFANCE,International,Aide au développement et parrainage d'enfants,0.85,2026-04-20,llm_gemini
FRANCO ASIATIQUE POUR L'ENFANCE,International,Aide internationale à l'enfance,0.85,2026-04-20,llm_gemini
FREHA,Social - Solidarité,Hébergement et insertion des réfugiés et personnes précaires,0.8,2026-02-18,llm_claude
GABY SOURIRE,Social - Solidarité,Association d'aide aux enfants malades / solidarité,0.6,2026-02-18,llm_claude
GAIA PARIS,Environnement,Écologie et biodiversité urbaine,0.55,2026-02-18,llm_claude
GAN YAEL CRECHE JARDIN ENF,Social - Petite enfance,Crèche et jardin d'enfants,0.98,2026-02-18,llm_claude
GAN YOSSEF CR JARDIN D ENFANTS,Social - Petite enfance,Jardin d'enfants / Crèche,1.0,2026-04-20,llm_gemini
GENERATION PLUS TON EMPLOI,Économie,Insertion professionnelle et emploi,0.9,2026-04-20,llm_gemini
GEST CENTRE ANIMAT CULTUR,Culture,Gestion de centre d'animation culturelle,0.9,2026-02-18,llm_claude
GESTION RESEAU MESUR POLLUT ATM,Environnement,Surveillance de la qualité de l'air (Airparif),1.0,2026-04-20,llm_gemini
GIP HASHTAG FRANCE RUGBY 2023,Sport,Organisation de la Coupe du monde de rugby 2023,0.95,2026-02-18,llm_claude
GIP POUR LA REUSSITE EDUCATIVE A PA,Éducation,Réussite éducative,1.0,2026-04-20,llm_gemini
GOOD DOCTOR,Santé,Services de santé,0.85,2026-04-20,llm_gemini
GOUTTE LAIT SAINT LEON,Social - Petite enfance,Goutte de lait - protection maternelle et infantile,0.9,2026-02-18,llm_claude
GOZULTING,Économie,Conseil en insertion et entrepreneuriat social,0.85,2026-04-20,llm_gemini
GRAND-MAM'AYOKA,Économie,Insertion par l'activité économique (restauration),0.9,2026-04-20,llm_gemini
GREEN CLIMATE FUND,International,Fonds international pour le climat - coopération internationale,0.9,2026-02-18,llm_claude
GROUP EXPLOITANT FORUM HALLES,Économie,Gestion et exploitation du Forum des Halles (centre commercial/espace public),0.65,2026-02-18,llm_claude
GROUP INTER PUBLIC CAFES CULTURES,Culture,"Cafés-cultures, programmation artistique en cafés et lieux conviviaux",0.9,2026-02-18,llm_claude
GROUP RECHER REALISAT DEVELOP RURAL,International,Coopération internationale et développement rural,1.0,2026-04-20,llm_gemini
GROUPE HOSPITAL UNIVERSITAIRE PARIS,Santé,Hôpital universitaire (GHU Paris),0.97,2026-02-18,llm_claude
GROUPE OEUVRES SOCIALES BELLEVILLE,Social - Solidarité,Œuvres sociales et solidarité de quartier,0.9,2026-02-18,llm_claude
GROUPE RECHERCHE ECHANGES TECHNOLOG,International,ONG de développement (GRET),0.95,2026-04-20,llm_gemini
GROUPE SEB FRANCE,Économie,Innovation et économie circulaire,0.9,2026-04-20,llm_gemini
GROUPE SOS JEUNESSE,Social - Solidarité,Protection et insertion de la jeunesse,1.0,2026-04-20,llm_gemini
GROUPE SOS SOLIDARITES,Social - Solidarité,"Insertion, hébergement, aide aux personnes vulnérables",0.95,2026-02-18,llm_claude
GROUPEMENT D AGRICULTURE BIOLOGI,Environnement,Agriculture biologique / promotion du bio,0.9,2026-02-18,llm_claude
GROUPEMENT D'AGRICULTURE BIOLOGI.,Environnement,Agriculture biologique,1.0,2026-04-20,llm_gemini
GRPT PARISIEN INTER BAILL SURVEILL,Logement,Groupement parisien inter-bailleurs de surveillance,0.75,2026-02-18,llm_claude
GRPT PARISIEN INTER-BAILL SURVEILL,Sécurité,Surveillance et tranquillité dans le logement social,1.0,2026-04-20,llm_gemini
GRPT PARISIEN INTERBAILL SURVEILL,Administration,Groupement parisien inter-bailleurs de surveillance,0.8,2026-02-18,llm_claude
GUINGETTE PIRATE,Culture,Lieu culturel festif - guinguette / bar culturel flottant,0.8,2026-02-18,llm_claude
H.A.W.A AU FEMININ,Social - Solidarité,Insertion sociale et professionnelle des femmes,0.9,2026-04-20,llm_gemini
HALAGE,Environnement,Insertion par le maraîchage et l'entretien d'espaces verts,0.8,2026-02-18,llm_claude
HALLE SAINTPIERRE,Culture,Musée et centre d'art,1.0,2026-04-20,llm_gemini
HALTE GARDERIE DU GRAND PAVOIS,Social - Petite enfance,Halte-garderie,1.0,2026-04-20,llm_gemini
HAUT COMME 3 POMMES,Social - Petite enfance,Structure d'accueil petite enfance,0.9,2026-02-18,llm_claude
HAWA AU FEMININ,Social - Solidarité,Insertion et droits des femmes,0.95,2026-04-20,llm_gemini
HENEO,Économie,Entreprise d'insertion ou de services,0.45,2026-02-18,llm_claude
HOME SWEET MOMES,Social - Petite enfance,Garde d'enfants / crèche / accueil petite enfance,0.85,2026-02-18,llm_claude
HOMEMAKERS,Économie,Insertion économique et économie circulaire,0.8,2026-04-20,llm_gemini
HORS LA RUE,Social - Solidarité,Protection des mineurs étrangers isolés et en errance,0.95,2026-02-18,llm_claude
HOTEL DE FRANCE,Social - Solidarité,Hébergement d'urgence et social,0.8,2026-04-20,llm_gemini
HUMANDO,Social - Solidarité,Insertion par l'activité économique,0.9,2026-04-20,llm_gemini
ICF LA SABLIERE SA D HLM,Logement,Bailleur social HLM,0.95,2026-02-18,llm_claude
ICF LA SABLIERE SA D'HLM,Logement,Société anonyme d'HLM,1.0,2026-04-20,llm_gemini
IERFAS,Éducation,"Institut d'études, recherche et formation",0.6,2026-02-18,llm_claude
ILE DE FRANCE MOBILITES,Transport,Autorité organisatrice des transports en Île-de-France,0.95,2026-02-18,llm_claude
ILE-DE-FRANCE MOBILITES,Transport,Autorité organisatrice des transports,1.0,2026-04-20,llm_gemini
IMMOBILIERE 3F,Logement,Bailleur social - logement social,0.95,2026-02-18,llm_claude
INALCO,Éducation,Institut National des Langues et Civilisations Orientales - enseignement supérieur,0.95,2026-02-18,llm_claude
INCUBATEUR AU FEMININ,Économie,Incubateur entrepreneuriat féminin,0.9,2026-02-18,llm_claude
INCUBATEUR PARIS BIOTECH,Économie,Incubateur de startups et biotechnologies,1.0,2026-04-20,llm_gemini
INDIGO STATIONNEMENT SB,Transport,Gestion de stationnement,0.95,2026-02-18,llm_claude
INFANS A L ENFANT,Social - Petite enfance,Accueil et accompagnement de la petite enfance,0.92,2026-02-18,llm_claude
INITIAT RENC ET SOLID 10,Social - Solidarité,Insertion et lien social de proximité,0.95,2026-04-20,llm_gemini
INNOVATION FACTORY,Économie,Innovation et startups,0.95,2026-04-20,llm_gemini
INSERM,Santé,Recherche médicale,1.0,2026-04-20,llm_gemini
INST CERVEAU MOELLE EPINIERE,Santé,Recherche médicale - Institut du Cerveau et de la Moelle Épinière (ICM),0.97,2026-02-18,llm_claude
INST INTERDEP DU PARC DU TREMBLAY,Sport,Institut interdépartemental du Parc du Tremblay - équipements sportifs,0.75,2026-02-18,llm_claude
INST NATIONAL SANTE RECHERCHE MEDIC,Santé,INSERM - recherche médicale,0.98,2026-02-18,llm_claude
INSTITUT CURIE,Santé,Recherche médicale et soins contre le cancer,0.97,2026-02-18,llm_claude
INSTITUT D'EDUCATION ET PRATIQUES,Éducation,Pratiques pédagogiques et citoyennes,0.9,2026-04-20,llm_gemini
INSTITUT DES CULTURES D ISLAM,Culture,Établissement culturel et cultuel,1.0,2026-04-20,llm_gemini
INSTITUT DES CULTURES D'ISLAM,Culture,Établissement culturel,1.0,2026-04-20,llm_gemini
INSTITUT FRANCAIS,International,Institut Français – coopération culturelle internationale et francophonie,0.8,2026-02-18,llm_claude
INSTITUT KURDE DE PARIS,Culture,"Institut culturel kurde, promotion de la culture et langue kurdes",0.8,2026-02-18,llm_claude
INSTITUT NATIONAL DE LA SANTE,Santé,Institut National de la Santé (INSERM ou similaire),0.95,2026-02-18,llm_claude
INSTITUT PASTEUR,Santé,Recherche médicale et santé publique,1.0,2026-04-20,llm_gemini
INSTITUT PHYSIQUE DU GLOBE,Éducation,Institut de Physique du Globe de Paris - recherche scientifique,0.9,2026-02-18,llm_claude
INSTITUTIONS GANONE YAD,Éducation,Institution éducative confessionnelle (Ganon / jardin d'enfants),0.65,2026-02-18,llm_claude
INSTUT RECHERCHE APPLIQUEE ENFANT,Social - Petite enfance,Recherche appliquée sur l'enfant et la parentalité,0.7,2026-02-18,llm_claude
INTERFACE FORMATION,Éducation,Formation professionnelle et insertion,0.95,2026-04-20,llm_gemini
INTERNATIONAL VISUAL THEATRE,Culture,Théâtre visuel / langue des signes (IVT),0.95,2026-02-18,llm_claude
INTERNATIONALE MAIRES FRANCOPHO,International,Coopération internationale et francophonie (AIMF),1.0,2026-04-20,llm_gemini
IRONHACK FRANCE ALUMNI,Éducation,Formation professionnelle et numérique,0.95,2026-04-20,llm_gemini
JANUS SAS,Autre,Société commerciale (SAS) - activité non identifiable,0.4,2026-02-18,llm_claude
JARDIN DES TRAVERSES,Environnement,Jardin partagé,1.0,2026-04-20,llm_gemini
JAURES PANTIN PETIT,Éducation,Établissement scolaire ou périscolaire (secteur Jaurès/Petit),0.85,2026-04-20,llm_gemini
JETUIL,Social - Solidarité,JETUIL - association d'insertion ou solidarité (nom tronqué probable),0.35,2026-02-18,llm_claude
JEUNESSE FEU VERT,Social - Solidarité,Prévention et insertion des jeunes,0.9,2026-02-18,llm_claude
JEUNESSE LOUBAVITCH,Éducation,Jeunesse et formation,0.9,2026-04-20,llm_gemini
JOANNAISE DU GROS CAILLOU,Sport,Association sportive (pétanque/boules),0.75,2026-02-18,llm_claude
JOURS HEUREUX,Social - Solidarité,Association d'éducation populaire et séjours solidaires,0.65,2026-02-18,llm_claude
JUDO AMICALE PARIS XX,Sport,Club de Judo,1.0,2026-04-20,llm_gemini
JUSTICE DEUXIEME CHANCE,Social - Solidarité,Réinsertion et aide aux personnes judiciarisées,0.8,2026-02-18,llm_claude
KELBONGOO,Social - Solidarité,Accès à une alimentation de qualité et circuits courts,0.95,2026-04-20,llm_gemini
KEUR KAMER,Culture,Association culturelle camerounaise,0.6,2026-02-18,llm_claude
KONEXIO,Éducation,Formation professionnelle et inclusion numérique,0.95,2026-04-20,llm_gemini
L AGENCE PARISIENNE DU CLIMAT,Environnement,Climat et transition énergétique,0.95,2026-02-18,llm_claude
L ARAIGNEE GENTILLE,Social - Petite enfance,Crèche et accueil de jeunes enfants,0.95,2026-04-20,llm_gemini
L HABITAT SOCIAL FRANCAIS,Logement,Habitat social / logement social,0.9,2026-02-18,llm_claude
L HABITATION CONFORTABLE,Logement,Logement social et gestion immobilière,0.95,2026-04-20,llm_gemini
L ILE AUX TRESORS,Social - Petite enfance,Crèche / structure petite enfance,0.7,2026-02-18,llm_claude
L INST D ETUDES AVANCEES  PARI,Éducation,Recherche et études supérieures,1.0,2026-04-20,llm_gemini
L INST D ETUDES AVANCEES PARI,Éducation,Institut d'études avancées - recherche académique,0.92,2026-02-18,llm_claude
L UN EST L AUTRE,Social - Solidarité,"Solidarité, lien social, inclusion",0.6,2026-02-18,llm_claude
L'ACCELER. PARISIEN D'INNOVATION,Économie,Innovation et accélération de startups,1.0,2026-04-20,llm_gemini
L'ARAIGNEE GENTILLE,Social - Petite enfance,Crèche parentale,1.0,2026-04-20,llm_gemini
L'ETAPE  PARCOURS LOGE JEUNES,Logement,Accompagnement vers le logement des jeunes,1.0,2026-04-20,llm_gemini
L'ETE PARISIEN,Culture,Événements culturels et loisirs,0.85,2026-04-20,llm_gemini
L'ETOILE DU NORD,Culture,Théâtre et spectacle vivant,0.95,2026-04-20,llm_gemini
L'HABITATION CONFORTABLE,Logement,Entreprise sociale pour l'habitat,1.0,2026-04-20,llm_gemini
L'ILE AUX LANGUE,Éducation,Apprentissage des langues et alphabétisation,0.95,2026-04-20,llm_gemini
LA BANANE,Social - Solidarité,Association de quartier et lien social (Quartier La Banane),0.85,2026-04-20,llm_gemini
LA BANQUE POSTALE,Économie,Services financiers et microfinance,0.9,2026-04-20,llm_gemini
LA BRICOLETTE,Environnement,Économie circulaire et atelier de réparation,0.9,2026-04-20,llm_gemini
LA CAMILLIENNE SPORT 12,Sport,Club omnisports et activités physiques,1.0,2026-04-20,llm_gemini
LA CHORBA,Social - Solidarité,Aide alimentaire et insertion,1.0,2026-04-20,llm_gemini
LA CHOUINE,Culture,Arts et spectacles,0.9,2026-04-20,llm_gemini
LA CITE DE LA MUSIQUE,Culture,Musique et spectacle vivant,1.0,2026-04-20,llm_gemini
LA COMPAGNIE DU 20E,Culture,Compagnie de théâtre,0.95,2026-04-20,llm_gemini
LA COOL DOUCHE,Social - Solidarité,Hygiène et aide aux sans-abris,1.0,2026-04-20,llm_gemini
LA COOP MIJOTEE,Économie,Commerce et économie sociale et solidaire,0.85,2026-04-20,llm_gemini
LA COOPERATIVE INDIGO,Social - Solidarité,Économie sociale et solidaire,0.9,2026-04-20,llm_gemini
LA CRAVATE SOLIDARE,Social - Solidarité,Insertion professionnelle et aide vestimentaire,1.0,2026-04-20,llm_gemini
LA DALLE AUX CHAPS,Culture,Arts du cirque et chapiteaux,0.9,2026-04-20,llm_gemini
LA DOMREMY BASKET 13,Sport,Club de basketball,1.0,2026-04-20,llm_gemini
LA FABRIQUE DE LA GOUTTE D'OR,Économie,Insertion économique et artisanat local,0.95,2026-04-20,llm_gemini
LA FABRIQUE NOMADE,Social - Solidarité,Insertion professionnelle des réfugiés et artisans,0.95,2026-04-20,llm_gemini
LA FONCIERE DE LA VILLE DE PARIS,Logement,Organisme de foncier solidaire (OFS),1.0,2026-04-20,llm_gemini
LA GOUTTE LAIT SAINT LEON,Social - Petite enfance,Crèche et protection infantile,0.95,2026-04-20,llm_gemini
LA JOANNAISE DU GROS CAILLOU,Éducation,Loisirs éducatifs et jeunesse,0.85,2026-04-20,llm_gemini
LA LOGE CDC PRODUCTIONS,Culture,Spectacle vivant et production,1.0,2026-04-20,llm_gemini
LA LUCARNE D'ARIANE,Culture,Activités artistiques et culturelles,0.9,2026-04-20,llm_gemini
LA MAISON DE L'ENFANCE,Social - Petite enfance,Accueil de l'enfance,0.9,2026-04-20,llm_gemini
LA MAISON DES BOUT CHOU,Social - Petite enfance,Accueil de la petite enfance,1.0,2026-04-20,llm_gemini
LA MAISON DES BOUT'CHOU,Social - Petite enfance,Crèches et accueil des jeunes enfants,1.0,2026-04-20,llm_gemini
LA MAISON DES JOURNALISTES,Social - Solidarité,Accueil et hébergement de journalistes exilés,0.95,2026-04-20,llm_gemini
LA MAISON KANGOUROU,Social - Petite enfance,Gestion de crèches et haltes-garderies,1.0,2026-04-20,llm_gemini
LA MAISON OUVERTE,Social - Petite enfance,Lieu d'accueil enfants-parents,0.9,2026-04-20,llm_gemini
LA MANUFACTURE,Culture,Théâtre et spectacle vivant,0.9,2026-04-20,llm_gemini
LA MENAGERIE DE VERRE,Culture,Danse contemporaine et spectacle vivant,1.0,2026-04-20,llm_gemini
LA PASSERELLE,Social - Solidarité,Centre social et insertion,0.8,2026-04-20,llm_gemini
LA PAUSE DU 6EME,Social - Petite enfance,Halte-garderie,0.9,2026-04-20,llm_gemini
LA PETITE LILI,Social - Petite enfance,Crèche / Halte-garderie,0.9,2026-04-20,llm_gemini
LA PETITE ROCKETTE,Environnement,Ressourcerie et réduction des déchets,0.95,2026-04-20,llm_gemini
LA PLACE  CENTRE CULTUREL HIP HOP,Culture,Musiques urbaines et centre culturel,1.0,2026-04-20,llm_gemini
LA PLACE - CENTRE CULTUREL HIPHOP,Culture,Centre culturel dédié aux cultures urbaines,1.0,2026-04-20,llm_gemini
LA PLANETE DES ENFANTS,Social - Petite enfance,Crèche / Accueil de jeunes enfants,0.95,2026-04-20,llm_gemini
LA PORTE ENTR'OUVERTE,Social - Petite enfance,Accompagnement de l'enfant et parentalité,0.85,2026-04-20,llm_gemini
LA RIBAMBELLE,Social - Petite enfance,Petite enfance,0.9,2026-04-20,llm_gemini
LA SIERRA PROD,Culture,Production audiovisuelle et culturelle,0.9,2026-04-20,llm_gemini
LA STATION C,Culture,Lieu culturel et artistique,0.85,2026-04-20,llm_gemini
LA TABLE DE CANA,Social - Solidarité,Insertion par l'activité économique (traiteur solidaire),0.95,2026-04-20,llm_gemini
LA TABLE DE CANA PARIS NORDOUEST,Économie,Insertion par l'activité économique (IAE),0.95,2026-04-20,llm_gemini
LA TABLE DU RECHO,Social - Solidarité,Insertion sociale et aide aux réfugiés,0.95,2026-04-20,llm_gemini
LANGUES PLURIELLES,Éducation,Apprentissage du français et des langues,0.85,2026-02-18,llm_claude
LASER ASSOCIATION,Autre,Association LASER – activité non identifiable avec certitude,0.3,2026-02-18,llm_claude
LE 100 ETABLISS. CULTUREL SOLIDAIRE,Culture,Établissement culturel solidaire,1.0,2026-04-20,llm_gemini
LE 100 ETABLISSEMENT CULTUREL SOLIDAIRE,Culture,Établissement culturel et solidaire,1.0,2026-04-20,llm_gemini
"LE 100, ETS CULTUREL SOLIDAIRE",Culture,Établissement culturel,1.0,2026-04-20,llm_gemini
LE BAL,Culture,Arts visuels et photographie,1.0,2026-04-20,llm_gemini
LE BUS DES FEMMES,Social - Solidarité,Accompagnement des femmes en situation de prostitution,1.0,2026-04-20,llm_gemini
LE CI'NEY 18,Culture,Cinéma,0.95,2026-04-20,llm_gemini
LE COLLECTIF DES VOUTES,Culture,Lieu culturel et artistique,0.9,2026-04-20,llm_gemini
LE COMEDE COMITE SANTE DES EXILES,Social - Solidarité,Santé des exilés et réfugiés,0.95,2026-04-20,llm_gemini
LE CREDIT LYONNAIS,Économie,Secteur bancaire et financier,0.9,2026-04-20,llm_gemini
LE DAUPHIN BLEU,Social - Petite enfance,Crèche ou structure petite enfance,0.9,2026-04-20,llm_gemini
LE FIGUIER,Social - Solidarité,Centre social ou accueil de proximité,0.85,2026-04-20,llm_gemini
LE KIOSQUE INFOS SIDA,Santé,Prévention VIH/SIDA,1.0,2026-04-20,llm_gemini
LE MOULIN BLEU,Social - Petite enfance,Crèche et multi-accueil,0.95,2026-04-20,llm_gemini
LE PAYSAN URBAIN,Environnement,Agriculture urbaine et biodiversité,1.0,2026-04-20,llm_gemini
LE PETIT NEY,Culture,Café littéraire et animation de quartier,0.85,2026-04-20,llm_gemini
LE PICOULET MISSION POPULAIRE XIE,Social - Solidarité,Centre social et mission populaire,1.0,2026-04-20,llm_gemini
LE TEMPS DES RUES,Culture,Arts de la rue et festivals,0.9,2026-04-20,llm_gemini
LEO LAGRANGE NORD -ILE-DE-FRANCE,Éducation,Éducation populaire et jeunesse,0.9,2026-04-20,llm_gemini
LEO LAGRANGE NORD ILE DE FRANCE,Éducation,Éducation populaire et jeunesse (Léo Lagrange),0.8,2026-02-18,llm_claude
LEO LAGRANGE NORD ILEDEFRANCE,Éducation,"Éducation populaire, animation jeunesse",0.8,2026-02-18,llm_claude
LES 19EME RUGISSANTS,Culture,Compagnie de théâtre et action culturelle,0.9,2026-04-20,llm_gemini
LES AMIS DE FARINEZVOUS,Économie,Insertion économique (Boulangerie solidaire),0.95,2026-04-20,llm_gemini
LES APACHES DES VIGNOLES,Culture,Compagnie de théâtre et spectacle vivant,0.9,2026-04-20,llm_gemini
LES ATELIERS POUR PETITS,Social - Petite enfance,Activités pour jeunes enfants,0.9,2026-04-20,llm_gemini
LES ATHEVAINS,Culture,Théâtre et spectacle vivant,1.0,2026-04-20,llm_gemini
LES BOUFFESQUETAIRES,Culture,Théâtre et spectacle vivant,0.9,2026-04-20,llm_gemini
LES CANAUX,Économie,Économie circulaire et solidaire,0.95,2026-04-20,llm_gemini
LES CHAMPS DES POSSIBLES,Environnement,Agriculture urbaine et transition écologique,0.9,2026-04-20,llm_gemini
LES CROCOS CRECHE PARENTAL,Social - Petite enfance,Crèche parentale,1.0,2026-04-20,llm_gemini
LES ENFANCES,Social - Solidarité,Soutien à l'enfance et à la famille,0.9,2026-04-20,llm_gemini
LES ENFANTS DE LA GOUTTE D OR,Éducation,Animation jeunesse et soutien scolaire,0.95,2026-04-20,llm_gemini
LES ENFANTS DE LA GOUTTE D'OR,Éducation,Jeunesse et accompagnement scolaire,0.9,2026-04-20,llm_gemini
LES ENFANTS DU CANAL,Social - Solidarité,Lutte contre l'exclusion et aide aux sans-abri,1.0,2026-04-20,llm_gemini
LES GRAINS DE SEL,Social - Solidarité,Lien social et vie de quartier,0.85,2026-04-20,llm_gemini
LES GRANDS MOYENS CONSTRUCTION,Économie,Insertion économique par le bâtiment,0.9,2026-04-20,llm_gemini
LES IDEES HEUREUSES,Culture,Production et diffusion artistique,0.9,2026-04-20,llm_gemini
LES JOURS HEUREUX,Social - Solidarité,Handicap mental,0.95,2026-04-20,llm_gemini
LES KYKLOS,Culture,Compagnie de théâtre et arts de la rue,0.9,2026-04-20,llm_gemini
LES PIEDS TENDRES,Culture,Compagnie de théâtre et arts de la rue,0.85,2026-04-20,llm_gemini
LES PLATEAUX SAUVAGES,Culture,Établissement culturel (théâtre et création),1.0,2026-04-20,llm_gemini
LES POUSSINS D'ANNAM,Social - Petite enfance,Crèche (rue d'Annam),1.0,2026-04-20,llm_gemini
LEVALLOIS PARIS SAINT-CLOUD,Sport,Club de volley-ball professionnel,0.9,2026-04-20,llm_gemini
LEVALLOIS PARIS SAINTCLOUD,Sport,Club sportif (probable club de rugby ou football inter-communes),0.6,2026-02-18,llm_claude
LIFE FOR PARIS 13 NOVEMBRE 2015,Social - Solidarité,Soutien aux victimes des attentats du 13 novembre 2015,0.95,2026-02-18,llm_claude
LIGUE FRCAISE DEFENSE DROITS DE L H,Social - Solidarité,Ligue Française de Défense des Droits de l'Homme,0.85,2026-02-18,llm_claude
LIGUE FRCAISE DEFENSE DROITS DE L'H,Social - Solidarité,Défense des droits de l'homme,1.0,2026-04-20,llm_gemini
LINKEE FRANCE,Social - Solidarité,Aide alimentaire et lutte contre le gaspillage,0.95,2026-02-18,llm_claude
LINKEE PARIS,Social - Solidarité,Aide alimentaire anti-gaspillage,0.93,2026-02-18,llm_claude
